,Name,ShortName,TeamName,TeamShortName,SkillName,IS_FP,Value
0,Rohit Sharma,Rohit Sharma,Mumbai Indians,MI,BATSMAN,0,11
1,KL Rahul,KL Rahul,Lucknow Super Giants,LSG,BATSMAN,0,11
2,Virat Kohli,Virat Kohli,Royal Challengers Bangalore,RCB,BATSMAN,0,11
3,Jos Buttler,Jos Buttler,Rajasthan Royals,RR,WICKET KEEPER,1,11
4,Hardik Pandya,Hardik Pandya,Gujarat Titans,GT,ALL ROUNDER,0,11
5,Andre Russell,Andre Russell,Kolkata Knight Riders,KKR,ALL ROUNDER,1,10.5
6,Rashid Khan,Rashid Khan,Gujarat Titans,GT,ALL ROUNDER,1,10.5
7,Glenn Maxwell,Glenn Maxwell,Royal Challengers Bangalore,RCB,ALL ROUNDER,1,10
8,Wanindu Hasaranga,Wanindu Hasaranga,Royal Challengers Bangalore,RCB,ALL ROUNDER,1,10
9,David Warner,David Warner,Delhi Capitals,DC,BATSMAN,1,10
10,Sanju Samson,Sanju Samson,Rajasthan Royals,RR,WICKET KEEPER,0,10
11,Quinton de Kock,Quinton de Kock,Lucknow Super Giants,LSG,WICKET KEEPER,1,10
12,Ben Stokes,Ben Stokes,Chennai Super Kings,CSK,ALL ROUNDER,1,10
13,Ravindra Jadeja,Ravindra Jadeja,Chennai Super Kings,CSK,ALL ROUNDER,0,10
14,Suryakumar Yadav,Suryakumar Yadav,Mumbai Indians,MI,BATSMAN,0,10
15,Marcus Stoinis,Marcus Stoinis,Lucknow Super Giants,LSG,ALL ROUNDER,1,9.5
16,Jonny Bairstow,Jonny Bairstow,Punjab Kings,PBKS,BATSMAN,1,9.5
17,Shreyas Iyer,Shreyas Iyer,Kolkata Knight Riders,KKR,BATSMAN,0,9.5
18,Moeen Ali,Moeen Ali,Chennai Super Kings,CSK,ALL ROUNDER,1,9.5
19,Shikhar Dhawan,Shikhar Dhawan,Punjab Kings,PBKS,BATSMAN,0,9.5
20,Kagiso Rabada,Kagiso Rabada,Punjab Kings,PBKS,BOWLER,1,9.5
21,Mitchell Marsh,Mitchell Marsh,Delhi Capitals,DC,ALL ROUNDER,1,9.5
22,Sam Curran,Sam Curran,Punjab Kings,PBKS,ALL ROUNDER,1,9.5
23,Jofra Archer,Jofra Archer,Mumbai Indians,MI,BOWLER,1,9.5
24,Faf du Plessis,Faf du Plessis,Royal Challengers Bangalore,RCB,BATSMAN,1,9.5
25,Yuzvendra Chahal,Yuzvendra Chahal,Rajasthan Royals,RR,BOWLER,0,9.5
26,Ruturaj Gaikwad,Ruturaj Gaikwad,Chennai Super Kings,CSK,BATSMAN,0,9.5
27,Shubman Gill,Shubman Gill,Gujarat Titans,GT,BATSMAN,0,9.5
28,Krunal Pandya,Krunal Pandya,Lucknow Super Giants,LSG,ALL ROUNDER,0,9
29,Ravichandran Ashwin,Ravichandran Ashwin,Rajasthan Royals,RR,ALL ROUNDER,0,9
